comparison,variable,unit,time_size,mean_bias,rmse,correlation,asos_mean,era5_land_mean
ERA5_Korea_land_minus_ASOS_Seoul_108,tas,degC,240,-0.4531,0.9719,0.9984,12.7533,12.3003
ERA5_Korea_land_minus_ASOS_Seoul_108,pr,mm/day,240,-0.7512,4.1382,0.8192,4.1758,3.4245
