month,tas,pr,pr_monthly_mm
1,1.1307,1.0756,33.345
2,3.3236,1.4706,41.3643
3,7.6664,2.0562,63.7414
4,13.3529,2.9501,88.5043
5,18.3307,3.3678,104.4007
6,22.1693,5.348,160.4414
7,25.3207,9.9329,307.9193
8,26.1193,10.0291,310.9014
9,21.9364,5.9104,177.3121
10,16.3993,1.9729,61.1586
11,9.7186,1.7945,53.835
12,3.2643,0.9977,30.9293
