dataset,year,month,tas
ERA5,1995,8,25.932517470812204
ERA5,1996,8,25.17293184833297
ERA5,1997,8,25.153834313655988
ERA5,1998,8,25.173257364328975
ERA5,1999,8,24.54326791397702
ERA5,2000,8,25.534623533190995
ERA5,2001,8,25.674210788540805
ERA5,2002,8,24.214006178141464
ERA5,2003,8,23.849478233915306
ERA5,2004,8,24.98518831409321
ERA5,2005,8,25.252714758025466
ERA5,2006,8,26.38029510912997
ERA5,2007,8,25.922193975315793
ERA5,2008,7,24.771319276422137
ERA5,2009,8,24.325160175018553
ERA5,2010,8,26.611509660596923
ERA5,2011,8,25.020134728243146
ERA5,2012,8,26.183635938535065
ERA5,2013,8,26.86283629134522
ERA5,2014,7,24.420826396736302
CMIP6_MPI_ESM1_2_LR,1995,8,24.035491943359375
CMIP6_MPI_ESM1_2_LR,1996,8,25.924489974975586
CMIP6_MPI_ESM1_2_LR,1997,8,25.234689712524414
CMIP6_MPI_ESM1_2_LR,1998,8,24.435760498046875
CMIP6_MPI_ESM1_2_LR,1999,8,25.00785255432129
CMIP6_MPI_ESM1_2_LR,2000,8,25.065420150756836
CMIP6_MPI_ESM1_2_LR,2001,8,24.252389907836914
CMIP6_MPI_ESM1_2_LR,2002,8,24.877838134765625
CMIP6_MPI_ESM1_2_LR,2003,8,25.032379150390625
CMIP6_MPI_ESM1_2_LR,2004,8,26.017791748046875
CMIP6_MPI_ESM1_2_LR,2005,8,24.714691162109375
CMIP6_MPI_ESM1_2_LR,2006,8,24.604299545288086
CMIP6_MPI_ESM1_2_LR,2007,8,25.93650245666504
CMIP6_MPI_ESM1_2_LR,2008,8,23.913259506225586
CMIP6_MPI_ESM1_2_LR,2009,8,26.000213623046875
CMIP6_MPI_ESM1_2_LR,2010,8,25.787527084350586
CMIP6_MPI_ESM1_2_LR,2011,8,25.656118392944336
CMIP6_MPI_ESM1_2_LR,2012,8,24.9923095703125
CMIP6_MPI_ESM1_2_LR,2013,8,25.512258529663086
CMIP6_MPI_ESM1_2_LR,2014,8,24.984243392944336
