month,monthly_bias_pr_CMIP6_minus_ERA5,unit
1,0.08249333877429166,mm/day
2,0.9236449436929124,mm/day
3,0.8778595805792188,mm/day
4,1.6145877045831196,mm/day
5,1.165356731286933,mm/day
6,-0.13908627176481755,mm/day
7,-2.719023429884907,mm/day
8,-2.281821176430767,mm/day
9,-0.9659695794401226,mm/day
10,-1.1636046213266455,mm/day
11,-0.44860224353276246,mm/day
12,0.5790150014020904,mm/day
