month,monthly_bias_tas_CMIP6_minus_ERA5,unit
1,0.3252484739604268,degC
2,-0.032025570854518584,degC
3,0.3290635629649265,degC
4,0.3835829189301777,degC
5,-0.0617111019411755,degC
6,-0.4267232378697968,degC
7,-0.2863252415554197,degC
8,-0.17242268889478846,degC
9,0.7468962215016437,degC
10,0.05479026978864483,degC
11,1.0357260808179085,degC
12,1.503677368377178,degC
