time,ERA5_pr,CMIP6_pr,bias_pr_CMIP6_minus_ERA5
1995-01-01,1.6022965346559275,1.1241555,-0.4781410132631052
1995-02-01,1.1656323431997702,2.061419,0.8957866669625834
1995-03-01,2.432034114080323,3.4222715,0.9902373760167227
1995-04-01,2.4530193398694884,2.8987138,0.4456944872636903
1995-05-01,2.714188978678756,2.18197,-0.5322190976210166
1995-06-01,2.5569243288890013,7.791346,5.234421744261633
1995-07-01,7.302695165354766,0.94492763,-6.357767532546081
1995-08-01,6.807278544491383,2.5798347,-4.2274438448606455
1995-09-01,2.966233577517821,4.806397,1.8401633836943372
1995-10-01,1.3981128408400416,1.2644821,-0.13363070029896496
1995-11-01,1.12232684274599,1.4794669,0.3571400723846252
1995-12-01,1.0074609838419215,1.4697385,0.46227749958703357
1996-01-01,1.5944960148524236,2.2382343,0.6437382666874933
1996-02-01,1.0130342221259336,3.2808857,2.267851474285199
1996-03-01,3.8977091944307865,3.7725961,-0.12511307359643586
1996-04-01,2.0229825032077113,4.2904983,2.2675157534756383
1996-05-01,1.3672009737696031,5.7666755,4.399474498489918
1996-06-01,9.002664046708546,3.1890326,-5.813631492082081
1996-07-01,5.074200569498557,6.4280877,1.3538871418356715
1996-08-01,3.654184067927988,3.7736034,0.11941937140306669
1996-09-01,1.1598302921844676,3.2476015,2.0877712169097706
1996-10-01,2.2766752969609505,0.23630607,-2.0403692256795174
1996-11-01,2.22354744208237,1.8793477,-0.34419976008316366
1996-12-01,1.5284301860037388,2.5746903,1.046260155945724
1997-01-01,1.3437856677675606,2.6814497,1.337663983950579
1997-02-01,1.320942036743207,2.5865123,1.2655702904510069
1997-03-01,1.6616164306869898,3.8220692,2.1604527374038307
1997-04-01,2.3779287524319277,7.239605,4.861676197519245
1997-05-01,5.272961660876194,5.1370516,-0.13591007853976844
1997-06-01,4.881186371068823,4.3456073,-0.5355790903376221
1997-07-01,7.628708404657829,7.7365017,0.10779328906775731
1997-08-01,5.270578852262704,3.4538956,-1.8166832834150481
1997-09-01,3.1676800917920658,0.93639493,-2.2312851619062015
1997-10-01,0.8148356884783424,0.360358,-0.4544776886767067
1997-11-01,4.525799872064782,4.755749,0.22994935355167279
1997-12-01,2.1852111746512612,1.5936346,-0.5915765692435464
