dataset,variable,box_mean,korea_land_mean,difference_land_minus_box,unit,land_grid_cells,total_grid_cells
ERA5,tas,13.9402,12.3003,-1.64,degC,155,825
ERA5,pr,3.4816,3.4245,-0.057,mm/day,155,825
